,movie,year,imdb,metascore,votes
0,Inception,(2010),8.8,74,1984884
1,Shutter Island,(2010),8.2,63,1087981
2,Toy Story 3,(2010),8.3,92,735808
3,Iron Man 2,(2010),7.0,57,702696
4,Black Swan,(2010),8.0,79,683139
5,How to Train Your Dragon,(2010),8.1,75,647994
6,The King's Speech,(2010),8.0,88,625464
7,The Social Network,(2010),7.7,95,605105
8,Kick-Ass,(2010),7.6,66,516121
9,Despicable Me,(2010),7.6,72,489081
10,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65,459854
11,Tangled,(2010),7.7,71,393833
12,Alice in Wonderland,(I) (2010),6.4,53,375175
13,Scott Pilgrim vs. the World,(2010),7.5,69,364832
14,Easy A,(2010),7.0,72,348565
15,The Town,(2010),7.5,74,342199
16,127 Hours,(2010),7.6,82,340775
17,The Fighter,(I) (2010),7.8,79,332526
18,The Expendables,(2010),6.5,45,319989
19,Due Date,(2010),6.5,51,317419
20,TRON: Legacy,(2010),6.8,49,307951
21,True Grit,(2010),7.6,80,302995
22,Salt,(2010),6.4,65,290127
23,The Book of Eli,(2010),6.9,53,286894
24,RED,(2010),7.0,60,282740
25,Insidious,(I) (2010),6.8,52,270176
26,Prince of Persia: The Sands of Time,(2010),6.6,50,266811
27,Clash of the Titans,(2010),5.8,39,266162
28,Robin Hood,(2010),6.6,53,248745
29,The A-Team,(2010),6.7,47,242486
30,The Other Guys,(2010),6.6,64,236573
31,Grown Ups,(I) (2010),5.9,30,223118
32,The Twilight Saga: Eclipse,(2010),5.0,58,221756
33,Megamind,(2010),7.2,63,221499
34,The Tourist,(I) (2010),6.0,37,218820
35,Predators,(2010),6.4,51,207947
36,Machete,(2010),6.6,60,187918
37,Unstoppable,(2010),6.8,69,180993
38,Blue Valentine,(2010),7.4,81,179886
39,Shrek Forever After,(2010),6.3,58,179304
40,The Next Three Days,(2010),7.4,52,177955
41,Knight and Day,(2010),6.3,46,176553
42,Love & Other Drugs,(2010),6.7,55,176139
43,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47,173348
44,Get Him to the Greek,(2010),6.4,65,167370
